,country,year,sex,age,suicides_no,population,suiciderate,yearlygdp,gdp
0,Albania,1987,male,15-24 years,21,312900,6.71,2156624900,796
1,Albania,1987,male,35-54 years,16,308000,5.19,2156624900,796
2,Albania,1987,female,15-24 years,14,289700,4.83,2156624900,796
3,Albania,1987,male,75+ years,1,21800,4.59,2156624900,796
4,Albania,1987,male,25-34 years,9,274300,3.28,2156624900,796
5,Albania,1987,female,75+ years,1,35600,2.81,2156624900,796
6,Albania,1987,female,35-54 years,6,278800,2.15,2156624900,796
7,Albania,1987,female,25-34 years,4,257200,1.56,2156624900,796
8,Albania,1987,male,55-74 years,1,137500,0.73,2156624900,796
9,Albania,1987,female,5-14 years,0,311000,0.0,2156624900,796
10,Albania,1987,female,55-74 years,0,144600,0.0,2156624900,796
11,Albania,1987,male,5-14 years,0,338200,0.0,2156624900,796
12,Albania,1988,female,75+ years,2,36400,5.49,2126000000,769
13,Albania,1988,male,15-24 years,17,319200,5.33,2126000000,769
14,Albania,1988,male,75+ years,1,22300,4.48,2126000000,769
15,Albania,1988,male,35-54 years,14,314100,4.46,2126000000,769
16,Albania,1988,male,55-74 years,4,140200,2.85,2126000000,769
17,Albania,1988,female,15-24 years,8,295600,2.71,2126000000,769
18,Albania,1988,female,55-74 years,3,147500,2.03,2126000000,769
19,Albania,1988,female,25-34 years,5,262400,1.91,2126000000,769
20,Albania,1988,male,25-34 years,5,279900,1.79,2126000000,769
21,Albania,1988,female,35-54 years,4,284500,1.41,2126000000,769
22,Albania,1988,female,5-14 years,0,317200,0.0,2126000000,769
23,Albania,1988,male,5-14 years,0,345000,0.0,2126000000,769
24,Albania,1989,male,75+ years,2,22500,8.89,2335124988,833
25,Albania,1989,male,25-34 years,18,283600,6.35,2335124988,833
26,Albania,1989,male,35-54 years,15,318400,4.71,2335124988,833
27,Albania,1989,male,55-74 years,6,142100,4.22,2335124988,833
28,Albania,1989,male,15-24 years,12,323500,3.71,2335124988,833
29,Albania,1989,female,35-54 years,7,288600,2.43,2335124988,833
30,Albania,1989,female,15-24 years,5,299900,1.67,2335124988,833
31,Albania,1989,female,25-34 years,2,266300,0.75,2335124988,833
32,Albania,1989,female,55-74 years,1,149600,0.67,2335124988,833
33,Albania,1989,female,5-14 years,0,321900,0.0,2335124988,833
34,Albania,1989,female,75+ years,0,37000,0.0,2335124988,833
35,Albania,1989,male,5-14 years,0,349700,0.0,2335124988,833
36,Albania,1992,male,35-54 years,12,343800,3.49,709452584,251
37,Albania,1992,male,15-24 years,9,263700,3.41,709452584,251
38,Albania,1992,male,55-74 years,5,159500,3.13,709452584,251
39,Albania,1992,male,25-34 years,7,245500,2.85,709452584,251
40,Albania,1992,female,15-24 years,7,292400,2.39,709452584,251
41,Albania,1992,female,25-34 years,4,267400,1.5,709452584,251
42,Albania,1992,female,35-54 years,2,323100,0.62,709452584,251
43,Albania,1992,female,55-74 years,1,164900,0.61,709452584,251
44,Albania,1992,female,5-14 years,0,336700,0.0,709452584,251
45,Albania,1992,female,75+ years,0,38700,0.0,709452584,251
46,Albania,1992,male,5-14 years,0,362900,0.0,709452584,251
47,Albania,1992,male,75+ years,0,23900,0.0,709452584,251
48,Albania,1993,male,15-24 years,18,243300,7.4,1228071038,437
49,Albania,1993,male,55-74 years,7,165000,4.24,1228071038,437
50,Albania,1993,male,75+ years,1,24200,4.13,1228071038,437
51,Albania,1993,male,25-34 years,9,230100,3.91,1228071038,437
52,Albania,1993,female,15-24 years,10,285300,3.51,1228071038,437
53,Albania,1993,male,35-54 years,10,350300,2.85,1228071038,437
54,Albania,1993,female,25-34 years,7,261800,2.67,1228071038,437
55,Albania,1993,female,35-54 years,7,331200,2.11,1228071038,437
56,Albania,1993,female,55-74 years,2,169500,1.18,1228071038,437
57,Albania,1993,female,5-14 years,1,340300,0.29,1228071038,437
58,Albania,1993,male,5-14 years,1,367000,0.27,1228071038,437
59,Albania,1993,female,75+ years,0,39300,0.0,1228071038,437
60,Albania,1994,male,75+ years,2,24600,8.13,1985673798,697
61,Albania,1994,male,55-74 years,11,171400,6.42,1985673798,697
62,Albania,1994,female,75+ years,2,39900,5.01,1985673798,697
63,Albania,1994,male,25-34 years,6,231400,2.59,1985673798,697
64,Albania,1994,male,35-54 years,9,362800,2.48,1985673798,697
65,Albania,1994,male,15-24 years,6,242200,2.48,1985673798,697
66,Albania,1994,female,15-24 years,6,282600,2.12,1985673798,697
67,Albania,1994,female,25-34 years,4,261100,1.53,1985673798,697
68,Albania,1994,female,35-54 years,2,342500,0.58,1985673798,697
69,Albania,1994,female,55-74 years,1,174600,0.57,1985673798,697
70,Albania,1994,male,5-14 years,1,371800,0.27,1985673798,697
71,Albania,1994,female,5-14 years,0,344400,0.0,1985673798,697
72,Albania,1995,male,25-34 years,13,232900,5.58,2424499009,835
73,Albania,1995,male,55-74 years,9,178000,5.06,2424499009,835
74,Albania,1995,female,75+ years,2,40800,4.9,2424499009,835
75,Albania,1995,female,15-24 years,13,283500,4.59,2424499009,835
76,Albania,1995,male,15-24 years,11,241200,4.56,2424499009,835
77,Albania,1995,male,75+ years,1,25100,3.98,2424499009,835
78,Albania,1995,male,35-54 years,14,375900,3.72,2424499009,835
79,Albania,1995,female,25-34 years,7,264000,2.65,2424499009,835
80,Albania,1995,female,35-54 years,8,356400,2.24,2424499009,835
81,Albania,1995,male,5-14 years,6,376500,1.59,2424499009,835
82,Albania,1995,female,55-74 years,2,180400,1.11,2424499009,835
83,Albania,1995,female,5-14 years,2,348700,0.57,2424499009,835
84,Albania,1996,male,75+ years,2,25400,7.87,3314898292,1127
85,Albania,1996,male,15-24 years,17,243600,6.98,3314898292,1127
86,Albania,1996,male,25-34 years,14,235300,5.95,3314898292,1127
87,Albania,1996,female,15-24 years,16,287700,5.56,3314898292,1127
88,Albania,1996,female,75+ years,2,41200,4.85,3314898292,1127
89,Albania,1996,female,25-34 years,10,267900,3.73,3314898292,1127
90,Albania,1996,male,35-54 years,12,379600,3.16,3314898292,1127
91,Albania,1996,female,35-54 years,9,362000,2.49,3314898292,1127
92,Albania,1996,male,55-74 years,3,179900,1.67,3314898292,1127
93,Albania,1996,female,55-74 years,1,183100,0.55,3314898292,1127
94,Albania,1996,male,5-14 years,2,380400,0.53,3314898292,1127
95,Albania,1996,female,5-14 years,1,354100,0.28,3314898292,1127
96,Albania,1997,male,25-34 years,36,236000,15.25,2359903108,793
97,Albania,1997,male,15-24 years,33,244400,13.5,2359903108,793
98,Albania,1997,male,75+ years,3,25400,11.81,2359903108,793
99,Albania,1997,male,35-54 years,30,380800,7.88,2359903108,793
100,Albania,1997,female,15-24 years,21,294000,7.14,2359903108,793
101,Albania,1997,male,55-74 years,12,180300,6.66,2359903108,793
102,Albania,1997,female,25-34 years,16,273900,5.84,2359903108,793
103,Albania,1997,female,75+ years,2,42100,4.75,2359903108,793
104,Albania,1997,female,35-54 years,7,370100,1.89,2359903108,793
105,Albania,1997,female,5-14 years,6,361800,1.66,2359903108,793
106,Albania,1997,male,5-14 years,4,381500,1.05,2359903108,793
107,Albania,1997,female,55-74 years,0,187000,0.0,2359903108,793
108,Albania,1998,male,75+ years,3,25800,11.63,2707123772,899
109,Albania,1998,male,15-24 years,27,248800,10.85,2707123772,899
110,Albania,1998,female,15-24 years,32,295600,10.83,2707123772,899
111,Albania,1998,male,25-34 years,26,240400,10.82,2707123772,899
112,Albania,1998,male,35-54 years,29,388200,7.47,2707123772,899
113,Albania,1998,male,55-74 years,9,183800,4.9,2707123772,899
114,Albania,1998,female,25-34 years,10,275300,3.63,2707123772,899
115,Albania,1998,female,55-74 years,6,188200,3.19,2707123772,899
116,Albania,1998,female,35-54 years,9,372100,2.42,2707123772,899
117,Albania,1998,male,5-14 years,2,388400,0.51,2707123772,899
118,Albania,1998,female,5-14 years,1,363800,0.27,2707123772,899
119,Albania,1998,female,75+ years,0,42300,0.0,2707123772,899
120,Albania,1999,male,75+ years,3,25900,11.58,3414760915,1127
121,Albania,1999,male,15-24 years,24,250600,9.58,3414760915,1127
122,Albania,1999,female,75+ years,4,42400,9.43,3414760915,1127
123,Albania,1999,male,35-54 years,31,391100,7.93,3414760915,1127
124,Albania,1999,male,25-34 years,19,242300,7.84,3414760915,1127
125,Albania,1999,male,55-74 years,14,185200,7.56,3414760915,1127
126,Albania,1999,female,15-24 years,19,296800,6.4,3414760915,1127
127,Albania,1999,female,25-34 years,13,276500,4.7,3414760915,1127
128,Albania,1999,female,55-74 years,6,188800,3.18,3414760915,1127
129,Albania,1999,female,35-54 years,5,373600,1.34,3414760915,1127
130,Albania,1999,female,5-14 years,1,365200,0.27,3414760915,1127
131,Albania,1999,male,5-14 years,0,391300,0.0,3414760915,1127
132,Albania,2000,male,25-34 years,17,232000,7.33,3632043908,1299
133,Albania,2000,male,55-74 years,10,177400,5.64,3632043908,1299
134,Albania,2000,female,75+ years,2,37800,5.29,3632043908,1299
135,Albania,2000,male,75+ years,1,24900,4.02,3632043908,1299
136,Albania,2000,female,15-24 years,6,263900,2.27,3632043908,1299
137,Albania,2000,male,15-24 years,5,240000,2.08,3632043908,1299
138,Albania,2000,female,35-54 years,5,332200,1.51,3632043908,1299
139,Albania,2000,female,25-34 years,3,245800,1.22,3632043908,1299
140,Albania,2000,male,35-54 years,4,374700,1.07,3632043908,1299
141,Albania,2000,male,5-14 years,1,374900,0.27,3632043908,1299
142,Albania,2000,female,5-14 years,0,324700,0.0,3632043908,1299
143,Albania,2000,female,55-74 years,0,168000,0.0,3632043908,1299
144,Albania,2001,male,25-34 years,22,206484,10.65,4060758804,1451
145,Albania,2001,male,35-54 years,34,378826,8.98,4060758804,1451
146,Albania,2001,male,55-74 years,11,196670,5.59,4060758804,1451
147,Albania,2001,female,75+ years,2,47254,4.23,4060758804,1451
148,Albania,2001,male,15-24 years,10,256039,3.91,4060758804,1451
149,Albania,2001,female,15-24 years,9,271359,3.32,4060758804,1451
150,Albania,2001,female,35-54 years,12,370191,3.24,4060758804,1451
151,Albania,2001,male,75+ years,1,31044,3.22,4060758804,1451
152,Albania,2001,female,55-74 years,6,189799,3.16,4060758804,1451
153,Albania,2001,male,5-14 years,6,321556,1.87,4060758804,1451
154,Albania,2001,female,25-34 years,4,222771,1.8,4060758804,1451
155,Albania,2001,female,5-14 years,2,307356,0.65,4060758804,1451
156,Albania,2002,male,75+ years,4,31007,12.9,4435078648,1573
157,Albania,2002,male,25-34 years,23,206286,11.15,4435078648,1573
158,Albania,2002,male,35-54 years,35,382139,9.16,4435078648,1573
159,Albania,2002,male,55-74 years,13,198130,6.56,4435078648,1573
160,Albania,2002,male,15-24 years,15,263067,5.7,4435078648,1573
161,Albania,2002,female,15-24 years,14,275970,5.07,4435078648,1573
162,Albania,2002,female,35-54 years,15,375113,4.0,4435078648,1573
163,Albania,2002,female,25-34 years,7,223685,3.13,4435078648,1573
164,Albania,2002,female,75+ years,1,47407,2.11,4435078648,1573
165,Albania,2002,female,55-74 years,4,191712,2.09,4435078648,1573
166,Albania,2002,female,5-14 years,1,304850,0.33,4435078648,1573
167,Albania,2002,male,5-14 years,1,319473,0.31,4435078648,1573
168,Albania,2003,female,75+ years,6,49088,12.22,5746945913,2021
169,Albania,2003,male,55-74 years,16,201520,7.94,5746945913,2021
170,Albania,2003,male,35-54 years,28,386196,7.25,5746945913,2021
171,Albania,2003,male,15-24 years,15,273235,5.49,5746945913,2021
172,Albania,2003,female,15-24 years,14,283709,4.93,5746945913,2021
173,Albania,2003,female,55-74 years,9,195699,4.6,5746945913,2021
174,Albania,2003,male,25-34 years,9,205433,4.38,5746945913,2021
175,Albania,2003,female,25-34 years,9,222941,4.04,5746945913,2021
176,Albania,2003,female,35-54 years,13,381760,3.41,5746945913,2021
177,Albania,2003,male,75+ years,1,32667,3.06,5746945913,2021
178,Albania,2003,male,5-14 years,4,313204,1.28,5746945913,2021
179,Albania,2003,female,5-14 years,0,298477,0.0,5746945913,2021
180,Albania,2004,male,75+ years,4,35526,11.26,7314865176,2544
181,Albania,2004,male,35-54 years,39,391767,9.95,7314865176,2544
182,Albania,2004,male,25-34 years,16,203938,7.85,7314865176,2544
183,Albania,2004,female,15-24 years,20,292268,6.84,7314865176,2544
184,Albania,2004,male,15-24 years,19,286768,6.63,7314865176,2544
185,Albania,2004,female,75+ years,3,50970,5.89,7314865176,2544
186,Albania,2004,female,25-34 years,11,222389,4.95,7314865176,2544
187,Albania,2004,male,55-74 years,10,207202,4.83,7314865176,2544
188,Albania,2004,female,35-54 years,17,391436,4.34,7314865176,2544
189,Albania,2004,female,55-74 years,3,203841,1.47,7314865176,2544
190,Albania,2004,female,5-14 years,3,286705,1.05,7314865176,2544
191,Albania,2004,male,5-14 years,1,302181,0.33,7314865176,2544
192,Albania,2005,female,15-24 years,0,281922,0.0,8158548717,2931
193,Albania,2005,female,25-34 years,0,190745,0.0,8158548717,2931
194,Albania,2005,female,35-54 years,0,386513,0.0,8158548717,2931
195,Albania,2005,female,5-14 years,0,276559,0.0,8158548717,2931
196,Albania,2005,female,55-74 years,0,210998,0.0,8158548717,2931
197,Albania,2005,female,75+ years,0,53191,0.0,8158548717,2931
198,Albania,2005,male,15-24 years,0,281675,0.0,8158548717,2931
199,Albania,2005,male,25-34 years,0,177519,0.0,8158548717,2931
200,Albania,2005,male,35-54 years,0,380242,0.0,8158548717,2931
201,Albania,2005,male,5-14 years,0,291367,0.0,8158548717,2931
202,Albania,2005,male,55-74 years,0,214118,0.0,8158548717,2931
203,Albania,2005,male,75+ years,0,38471,0.0,8158548717,2931
204,Albania,2006,female,15-24 years,0,283138,0.0,8992642349,3235
205,Albania,2006,female,25-34 years,0,186391,0.0,8992642349,3235
206,Albania,2006,female,35-54 years,0,388746,0.0,8992642349,3235
207,Albania,2006,female,5-14 years,0,267316,0.0,8992642349,3235
208,Albania,2006,female,55-74 years,0,215907,0.0,8992642349,3235
209,Albania,2006,female,75+ years,0,56011,0.0,8992642349,3235
210,Albania,2006,male,15-24 years,0,286679,0.0,8992642349,3235
211,Albania,2006,male,25-34 years,0,174092,0.0,8992642349,3235
212,Albania,2006,male,35-54 years,0,379076,0.0,8992642349,3235
213,Albania,2006,male,5-14 years,0,282678,0.0,8992642349,3235
214,Albania,2006,male,55-74 years,0,219360,0.0,8992642349,3235
215,Albania,2006,male,75+ years,0,40782,0.0,8992642349,3235
216,Albania,2007,male,75+ years,8,42366,18.88,10701011897,3863
217,Albania,2007,male,35-54 years,29,378626,7.66,10701011897,3863
218,Albania,2007,male,55-74 years,14,224160,6.25,10701011897,3863
219,Albania,2007,female,75+ years,3,57404,5.23,10701011897,3863
220,Albania,2007,male,25-34 years,9,172494,5.22,10701011897,3863
221,Albania,2007,female,15-24 years,13,281080,4.63,10701011897,3863
222,Albania,2007,male,15-24 years,13,288349,4.51,10701011897,3863
223,Albania,2007,female,25-34 years,8,183629,4.36,10701011897,3863
224,Albania,2007,female,55-74 years,9,221120,4.07,10701011897,3863
225,Albania,2007,female,35-54 years,14,391811,3.57,10701011897,3863
226,Albania,2007,male,5-14 years,4,272497,1.47,10701011897,3863
227,Albania,2007,female,5-14 years,0,256808,0.0,10701011897,3863
228,Albania,2008,male,25-34 years,21,172855,12.15,12881352688,4672
229,Albania,2008,male,35-54 years,37,377119,9.81,12881352688,4672
230,Albania,2008,male,55-74 years,21,228672,9.18,12881352688,4672
231,Albania,2008,female,75+ years,5,59369,8.42,12881352688,4672
232,Albania,2008,female,15-24 years,20,276073,7.24,12881352688,4672
233,Albania,2008,female,25-34 years,9,182663,4.93,12881352688,4672
234,Albania,2008,female,35-54 years,19,393832,4.82,12881352688,4672
235,Albania,2008,male,75+ years,2,44574,4.49,12881352688,4672
236,Albania,2008,male,15-24 years,11,286702,3.84,12881352688,4672
237,Albania,2008,female,55-74 years,7,226448,3.09,12881352688,4672
238,Albania,2008,male,5-14 years,7,262464,2.67,12881352688,4672
239,Albania,2008,female,5-14 years,1,246288,0.41,12881352688,4672
240,Albania,2009,female,15-24 years,0,270003,0.0,12044212904,4387
241,Albania,2009,female,25-34 years,0,182712,0.0,12044212904,4387
242,Albania,2009,female,35-54 years,0,394286,0.0,12044212904,4387
243,Albania,2009,female,5-14 years,0,236174,0.0,12044212904,4387
244,Albania,2009,female,55-74 years,0,233302,0.0,12044212904,4387
245,Albania,2009,female,75+ years,0,61582,0.0,12044212904,4387
246,Albania,2009,male,15-24 years,0,283448,0.0,12044212904,4387
247,Albania,2009,male,25-34 years,0,174955,0.0,12044212904,4387
248,Albania,2009,male,35-54 years,0,374365,0.0,12044212904,4387
249,Albania,2009,male,5-14 years,0,253007,0.0,12044212904,4387
250,Albania,2009,male,55-74 years,0,234570,0.0,12044212904,4387
251,Albania,2009,male,75+ years,0,47331,0.0,12044212904,4387
252,Albania,2010,male,55-74 years,20,241852,8.27,11926953259,4359
253,Albania,2010,male,35-54 years,20,371611,5.38,11926953259,4359
254,Albania,2010,male,25-34 years,9,179720,5.01,11926953259,4359
255,Albania,2010,male,75+ years,2,50767,3.94,11926953259,4359
256,Albania,2010,male,15-24 years,10,279508,3.58,11926953259,4359
257,Albania,2010,female,25-34 years,6,183579,3.27,11926953259,4359
258,Albania,2010,female,75+ years,2,64415,3.1,11926953259,4359
259,Albania,2010,female,35-54 years,12,394593,3.04,11926953259,4359
260,Albania,2010,female,55-74 years,7,241491,2.9,11926953259,4359
261,Albania,2010,female,15-24 years,6,263581,2.28,11926953259,4359
262,Albania,2010,female,5-14 years,2,223969,0.89,11926953259,4359
263,Albania,2010,male,5-14 years,0,240939,0.0,11926953259,4359
264,Antigua and Barb.,1985,female,15-24 years,0,7709,0.0,240923926,3850
265,Antigua and Barb.,1985,female,25-34 years,0,6344,0.0,240923926,3850
266,Antigua and Barb.,1985,female,35-54 years,0,6173,0.0,240923926,3850
267,Antigua and Barb.,1985,female,5-14 years,0,7339,0.0,240923926,3850
268,Antigua and Barb.,1985,female,55-74 years,0,3778,0.0,240923926,3850
269,Antigua and Barb.,1985,female,75+ years,0,949,0.0,240923926,3850
270,Antigua and Barb.,1985,male,15-24 years,0,7667,0.0,240923926,3850
271,Antigua and Barb.,1985,male,25-34 years,0,6194,0.0,240923926,3850
272,Antigua and Barb.,1985,male,35-54 years,0,5970,0.0,240923926,3850
273,Antigua and Barb.,1985,male,5-14 years,0,7304,0.0,240923926,3850
274,Antigua and Barb.,1985,male,55-74 years,0,2723,0.0,240923926,3850
275,Antigua and Barb.,1985,male,75+ years,0,424,0.0,240923926,3850
276,Antigua and Barb.,1986,female,15-24 years,0,7668,0.0,290440148,4740
277,Antigua and Barb.,1986,female,25-34 years,0,6209,0.0,290440148,4740
278,Antigua and Barb.,1986,female,35-54 years,0,6101,0.0,290440148,4740
279,Antigua and Barb.,1986,female,5-14 years,0,6907,0.0,290440148,4740
280,Antigua and Barb.,1986,female,55-74 years,0,3764,0.0,290440148,4740
281,Antigua and Barb.,1986,female,75+ years,0,1014,0.0,290440148,4740
282,Antigua and Barb.,1986,male,15-24 years,0,7563,0.0,290440148,4740
283,Antigua and Barb.,1986,male,25-34 years,0,6023,0.0,290440148,4740
284,Antigua and Barb.,1986,male,35-54 years,0,5947,0.0,290440148,4740
285,Antigua and Barb.,1986,male,5-14 years,0,6827,0.0,290440148,4740
286,Antigua and Barb.,1986,male,55-74 years,0,2771,0.0,290440148,4740
287,Antigua and Barb.,1986,male,75+ years,0,476,0.0,290440148,4740
288,Antigua and Barb.,1987,female,15-24 years,0,7583,0.0,337174852,5595
289,Antigua and Barb.,1987,female,25-34 years,0,6101,0.0,337174852,5595
290,Antigua and Barb.,1987,female,35-54 years,0,6059,0.0,337174852,5595
291,Antigua and Barb.,1987,female,5-14 years,0,6623,0.0,337174852,5595
292,Antigua and Barb.,1987,female,55-74 years,0,3738,0.0,337174852,5595
293,Antigua and Barb.,1987,female,75+ years,0,1081,0.0,337174852,5595
294,Antigua and Barb.,1987,male,15-24 years,0,7421,0.0,337174852,5595
295,Antigua and Barb.,1987,male,25-34 years,0,5893,0.0,337174852,5595
296,Antigua and Barb.,1987,male,35-54 years,0,5927,0.0,337174852,5595
297,Antigua and Barb.,1987,male,5-14 years,0,6499,0.0,337174852,5595
298,Antigua and Barb.,1987,male,55-74 years,0,2798,0.0,337174852,5595
299,Antigua and Barb.,1987,male,75+ years,0,538,0.0,337174852,5595
300,Antigua and Barb.,1988,female,15-24 years,0,7413,0.0,398637741,6693
301,Antigua and Barb.,1988,female,25-34 years,0,6041,0.0,398637741,6693
302,Antigua and Barb.,1988,female,35-54 years,0,6021,0.0,398637741,6693
303,Antigua and Barb.,1988,female,5-14 years,0,6527,0.0,398637741,6693
304,Antigua and Barb.,1988,female,55-74 years,0,3708,0.0,398637741,6693
305,Antigua and Barb.,1988,female,75+ years,0,1141,0.0,398637741,6693
306,Antigua and Barb.,1988,male,15-24 years,0,7209,0.0,398637741,6693
307,Antigua and Barb.,1988,male,25-34 years,0,5826,0.0,398637741,6693
308,Antigua and Barb.,1988,male,35-54 years,0,5907,0.0,398637741,6693
309,Antigua and Barb.,1988,male,5-14 years,0,6355,0.0,398637741,6693
310,Antigua and Barb.,1988,male,55-74 years,0,2813,0.0,398637741,6693
311,Antigua and Barb.,1988,male,75+ years,0,603,0.0,398637741,6693
312,Antigua and Barb.,1989,female,15-24 years,0,7152,0.0,438794778,7407
313,Antigua and Barb.,1989,female,25-34 years,0,6059,0.0,438794778,7407
314,Antigua and Barb.,1989,female,35-54 years,0,5969,0.0,438794778,7407
315,Antigua and Barb.,1989,female,5-14 years,0,6621,0.0,438794778,7407
316,Antigua and Barb.,1989,female,55-74 years,0,3696,0.0,438794778,7407
317,Antigua and Barb.,1989,female,75+ years,0,1195,0.0,438794778,7407
318,Antigua and Barb.,1989,male,15-24 years,0,6927,0.0,438794778,7407
319,Antigua and Barb.,1989,male,25-34 years,0,5835,0.0,438794778,7407
320,Antigua and Barb.,1989,male,35-54 years,0,5862,0.0,438794778,7407
321,Antigua and Barb.,1989,male,5-14 years,0,6403,0.0,438794778,7407
322,Antigua and Barb.,1989,male,55-74 years,0,2843,0.0,438794778,7407
323,Antigua and Barb.,1989,male,75+ years,0,676,0.0,438794778,7407
324,Antigua and Barb.,1990,male,35-54 years,1,5799,17.24,459469074,7744
325,Antigua and Barb.,1990,female,15-24 years,0,6827,0.0,459469074,7744
326,Antigua and Barb.,1990,female,25-34 years,0,6172,0.0,459469074,7744
327,Antigua and Barb.,1990,female,35-54 years,0,5895,0.0,459469074,7744
328,Antigua and Barb.,1990,female,5-14 years,0,6877,0.0,459469074,7744
329,Antigua and Barb.,1990,female,55-74 years,0,3706,0.0,459469074,7744
330,Antigua and Barb.,1990,female,75+ years,0,1252,0.0,459469074,7744
331,Antigua and Barb.,1990,male,15-24 years,0,6598,0.0,459469074,7744
332,Antigua and Barb.,1990,male,25-34 years,0,5937,0.0,459469074,7744
333,Antigua and Barb.,1990,male,5-14 years,0,6611,0.0,459469074,7744
334,Antigua and Barb.,1990,male,55-74 years,0,2902,0.0,459469074,7744
335,Antigua and Barb.,1990,male,75+ years,0,758,0.0,459469074,7744
336,Antigua and Barb.,1991,female,15-24 years,0,6595,0.0,481706333,7976
337,Antigua and Barb.,1991,female,25-34 years,0,6396,0.0,481706333,7976
338,Antigua and Barb.,1991,female,35-54 years,0,6198,0.0,481706333,7976
339,Antigua and Barb.,1991,female,5-14 years,0,7089,0.0,481706333,7976
340,Antigua and Barb.,1991,female,55-74 years,0,3665,0.0,481706333,7976
341,Antigua and Barb.,1991,female,75+ years,0,1293,0.0,481706333,7976
342,Antigua and Barb.,1991,male,15-24 years,0,6401,0.0,481706333,7976
343,Antigua and Barb.,1991,male,25-34 years,0,6156,0.0,481706333,7976
344,Antigua and Barb.,1991,male,35-54 years,0,6122,0.0,481706333,7976
345,Antigua and Barb.,1991,male,5-14 years,0,6818,0.0,481706333,7976
346,Antigua and Barb.,1991,male,55-74 years,0,2857,0.0,481706333,7976
347,Antigua and Barb.,1991,male,75+ years,0,804,0.0,481706333,7976
348,Antigua and Barb.,1992,female,15-24 years,0,6369,0.0,499281148,8087
349,Antigua and Barb.,1992,female,25-34 years,0,6650,0.0,499281148,8087
350,Antigua and Barb.,1992,female,35-54 years,0,6534,0.0,499281148,8087
351,Antigua and Barb.,1992,female,5-14 years,0,7311,0.0,499281148,8087
352,Antigua and Barb.,1992,female,55-74 years,0,3648,0.0,499281148,8087
353,Antigua and Barb.,1992,female,75+ years,0,1339,0.0,499281148,8087
354,Antigua and Barb.,1992,male,15-24 years,0,6221,0.0,499281148,8087
355,Antigua and Barb.,1992,male,25-34 years,0,6409,0.0,499281148,8087
356,Antigua and Barb.,1992,male,35-54 years,0,6497,0.0,499281148,8087
357,Antigua and Barb.,1992,male,5-14 years,0,7059,0.0,499281148,8087
358,Antigua and Barb.,1992,male,55-74 years,0,2851,0.0,499281148,8087
359,Antigua and Barb.,1992,male,75+ years,0,853,0.0,499281148,8087
360,Antigua and Barb.,1993,male,25-34 years,1,6668,15.0,535172778,8453
361,Antigua and Barb.,1993,female,15-24 years,0,6182,0.0,535172778,8453
362,Antigua and Barb.,1993,female,25-34 years,0,6914,0.0,535172778,8453
363,Antigua and Barb.,1993,female,35-54 years,0,6917,0.0,535172778,8453
364,Antigua and Barb.,1993,female,5-14 years,0,7529,0.0,535172778,8453
365,Antigua and Barb.,1993,female,55-74 years,0,3662,0.0,535172778,8453
366,Antigua and Barb.,1993,female,75+ years,0,1386,0.0,535172778,8453
367,Antigua and Barb.,1993,male,15-24 years,0,6069,0.0,535172778,8453
368,Antigua and Barb.,1993,male,35-54 years,0,6915,0.0,535172778,8453
369,Antigua and Barb.,1993,male,5-14 years,0,7298,0.0,535172778,8453
370,Antigua and Barb.,1993,male,55-74 years,0,2879,0.0,535172778,8453
371,Antigua and Barb.,1993,male,75+ years,0,896,0.0,535172778,8453
372,Antigua and Barb.,1994,female,15-24 years,0,6083,0.0,589429593,9062
373,Antigua and Barb.,1994,female,25-34 years,0,7151,0.0,589429593,9062
374,Antigua and Barb.,1994,female,35-54 years,0,7357,0.0,589429593,9062
375,Antigua and Barb.,1994,female,5-14 years,0,7722,0.0,589429593,9062
376,Antigua and Barb.,1994,female,55-74 years,0,3715,0.0,589429593,9062
377,Antigua and Barb.,1994,female,75+ years,0,1437,0.0,589429593,9062
378,Antigua and Barb.,1994,male,15-24 years,0,5976,0.0,589429593,9062
379,Antigua and Barb.,1994,male,25-34 years,0,6886,0.0,589429593,9062
380,Antigua and Barb.,1994,male,35-54 years,0,7359,0.0,589429593,9062
381,Antigua and Barb.,1994,male,5-14 years,0,7494,0.0,589429593,9062
382,Antigua and Barb.,1994,male,55-74 years,0,2935,0.0,589429593,9062
383,Antigua and Barb.,1994,male,75+ years,0,929,0.0,589429593,9062
384,Antigua and Barb.,1995,female,15-24 years,0,6099,0.0,577280741,8636
385,Antigua and Barb.,1995,female,25-34 years,0,7333,0.0,577280741,8636
386,Antigua and Barb.,1995,female,35-54 years,0,7851,0.0,577280741,8636
387,Antigua and Barb.,1995,female,5-14 years,0,7885,0.0,577280741,8636
388,Antigua and Barb.,1995,female,55-74 years,0,3808,0.0,577280741,8636
389,Antigua and Barb.,1995,female,75+ years,0,1488,0.0,577280741,8636
390,Antigua and Barb.,1995,male,15-24 years,0,5953,0.0,577280741,8636
391,Antigua and Barb.,1995,male,25-34 years,0,7023,0.0,577280741,8636
392,Antigua and Barb.,1995,male,35-54 years,0,7809,0.0,577280741,8636
393,Antigua and Barb.,1995,male,5-14 years,0,7632,0.0,577280741,8636
394,Antigua and Barb.,1995,male,55-74 years,0,3021,0.0,577280741,8636
395,Antigua and Barb.,1995,male,75+ years,0,944,0.0,577280741,8636
396,Antigua and Barb.,1998,female,15-24 years,0,6529,0.0,727860593,10078
